"Genes","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Pooled.LogIt.Coefficient","Mean.Optimal","Mean.Suboptimal","P","FDR"
"TBXA2R","ILMN_1739178","6672","A_23_P355471","207555_s_at","211590_x_at","A_23_P355471","207555_s_at","211590_x_at","211590_x_at",-0.2100634588059,0.099606673573732,-0.0815816788066563,0.00371996632607705,0.148437929035705
"C2orf43","ILMN_1660275","1138","A_23_P420256","222192_s_at","222192_s_at","A_23_P420256","222192_s_at","222192_s_at","222192_s_at",-0.208770941836293,0.0774426249438051,-0.0987499793475384,0.00374607286678553,0.148579179246482
"DDR2","ILMN_1730553","19273","A_23_P452","205168_at","205168_at","A_23_P452","205168_at","205168_at","205168_at",0.221698708376884,-0.108552168926704,0.083993788286325,0.00385106096466881,0.151675712331563
"MMP2","ILMN_1762106","19768","A_23_P163787","201069_at","201069_at","A_23_P163787","201069_at","201069_at","201069_at",0.215433782696734,-0.133957239539485,0.0498834077429416,0.0038833050423896,0.151675712331563
"ATP6V1C1","ILMN_1659801","19785","A_23_P146058","202874_s_at","202874_s_at","A_23_P146058","202874_s_at","202874_s_at","202874_s_at",0.214191127082518,-0.0974465622801744,0.0605656568006529,0.00390995425423185,0.151675712331563
"SKAP1","ILMN_1751400","26812","A_23_P100730","205790_at","205790_at","A_23_P100730","205790_at","205790_at","205790_at",-0.213663906871229,0.117868235216368,-0.0542807410916046,0.0039162926938587,0.151675712331563
"TAGLN","ILMN_1778668","16733","A_23_P87011","205547_s_at","205547_s_at","A_23_P87011","205547_s_at","205547_s_at","205547_s_at",0.215578091326004,-0.11516341980192,0.0487542611444722,0.00408043675478075,0.157108746160681
"PDGFRB","ILMN_1815057","5486","A_23_P421401","202273_at","202273_at","A_23_P421401","202273_at","202273_at","202273_at",0.218929049104878,-0.136761197166839,0.0557741070789494,0.00411905918211754,0.157201636521364
"OAT","ILMN_1654441","2984","A_23_P98092","201599_at","201599_at","A_23_P98092","201599_at","201599_at","201599_at",0.210285979507393,-0.124155433639262,0.0583532740657478,0.00418098900273603,0.157201636521364
"WDR59","ILMN_1795428","23622","A_23_P206856","218505_at","218505_at","A_23_P206856","218505_at","218505_at","218505_at",-0.21774892482327,0.126445196699233,-0.0728366974532618,0.00418316024323413,0.157201636521364
"CRISPLD2","ILMN_1790689","6548","A_23_P106602","221541_at","221541_at","A_24_P7040","221541_at","221541_at","221541_at",0.22470776928689,-0.146928223295925,0.0489438864601557,0.00419489307605712,0.157201636521364
"FEM1C","ILMN_1703330","27379","A_23_P41697","213341_at","213341_at","A_23_P41697","213341_at","213341_at","213341_at",0.213499347857882,-0.115321223867673,0.0549463607918662,0.00423482199325762,0.157201636521364
"COL10A1","ILMN_1672776","29177","A_23_P214144","205941_s_at","205941_s_at","A_23_P214144","205941_s_at","205941_s_at","205941_s_at",0.230571595990293,-0.131384886412279,0.0594256506028865,0.00425239025063693,0.157201636521364
"SOS2","ILMN_1764414","16426","A_23_P117546","212870_at","212870_at","A_23_P117546","212870_at","212870_at","212870_at",0.215546658400299,-0.124408943037199,0.0239291384568175,0.0042566123157046,0.157201636521364
"MICAL2","ILMN_1785141","17817","A_23_P24843","212473_s_at","212473_s_at","A_23_P24843","212473_s_at","212473_s_at","212473_s_at",0.212200416614989,-0.120666250996054,0.0460178696106243,0.00427385980214522,0.157201636521364
"B3GAT1","ILMN_1761093","14367","A_23_P1833","219521_at","219521_at","A_23_P1833","219521_at","219521_at","219521_at",-0.204482344410608,0.10093927803134,-0.0795236896940495,0.00437588966205558,0.159561558557949
"SVIL","ILMN_1671404","24714","A_23_P35349","202565_s_at","202565_s_at","A_23_P35349","202565_s_at","202565_s_at","202565_s_at",0.214219066234805,-0.13627119697597,0.0311432998332764,0.00438648877566658,0.159561558557949
"FAS","ILMN_1808132","14202","A_23_P63896","204780_s_at","204780_s_at","A_23_P63896","204780_s_at","204780_s_at","204780_s_at",0.213538600276782,-0.122652093749186,0.0657533296963142,0.00446339946139527,0.161467154141904
"ADAM9","ILMN_1727524","21236","A_32_P5168","202381_at","202381_at","A_23_P72643","202381_at","202381_at","202381_at",0.213686536847832,-0.124628340800184,0.0616920558242166,0.00456094011563888,0.164094151482877
"ALPK3","ILMN_1734630","11659","A_23_P348728","214846_s_at","214846_s_at","A_23_P348728","214846_s_at","214846_s_at","214846_s_at",-0.212777489635458,0.0825975012989402,-0.0910587403551829,0.00461560710801754,0.16464726618718
"C2orf44","ILMN_1730631","9947","A_23_P154022","219120_at","219120_at","A_23_P154022","219120_at","219120_at","219120_at",-0.205336498498253,0.121289644796854,-0.0528244701091446,0.00465412192508986,0.16464726618718
"NELL2","ILMN_1725417","12363","A_23_P10025","203413_at","203413_at","A_23_P10025","203413_at","203413_at","203413_at",-0.205959583435649,0.106219546493856,-0.0642615173409862,0.00471496410922206,0.16464726618718
"GLIPR1","ILMN_1769245","27393","A_23_P364024","214085_x_at","214085_x_at","A_23_P364024","214085_x_at","214085_x_at","214085_x_at",0.211372155870678,-0.132062338611978,0.0631135323831757,0.00473613144165706,0.16464726618718
"GEM","ILMN_1677092","5489","A_23_P257043","204472_at","204472_at","A_23_P257043","204472_at","204472_at","204472_at",0.224635168124236,-0.11527931109448,0.0819815634948502,0.0047516277313643,0.16464726618718
"CBR4","ILMN_1813400","23023","A_24_P351521","244052_at","213626_at","A_23_P213237","244052_at","213626_at","213626_at",-0.208879704153217,0.11291909808219,-0.0580703053557133,0.00475490893068821,0.16464726618718
"TSPAN8","ILMN_1683263","21076","A_23_P36531","203824_at","203824_at","A_23_P36531","203824_at","203824_at","203824_at",-0.208672151940793,0.103495910685158,-0.0776463030371295,0.00477248370884063,0.16464726618718
"SH3BP5","ILMN_1683799","22667","A_23_P143964","201811_x_at","201811_x_at","A_23_P143964","201811_x_at","201811_x_at","201811_x_at",0.20354642431325,-0.09844318240208,0.0601437275976711,0.00477637117888081,0.16464726618718
"SMPD3","ILMN_1802316","24140","A_23_P163567","219695_at","219695_at","A_23_P163567","219695_at","219695_at","219695_at",-0.206268088611664,0.110909811648459,-0.074032927894422,0.0049437258839739,0.167005298560161
"PLCG2","ILMN_1815719","12986","A_23_P106675","204613_at","204613_at","A_23_P106675","204613_at","204613_at","204613_at",-0.207742461123498,0.114569149678812,-0.0651385694358161,0.00495475926356593,0.167005298560161
"ZNHIT3","ILMN_1812478","16410","A_23_P383435","212544_at","212544_at","A_23_P383435","212544_at","212544_at","212544_at",-0.21355688130496,0.114633797061356,-0.0529645945557951,0.00496467578753376,0.167005298560161
"PDCD10","ILMN_1709396","18034","A_23_P18325","210907_s_at","210907_s_at","A_23_P18325","210907_s_at","210907_s_at","210907_s_at",0.200096250659591,-0.0951388889998142,0.0701385326956568,0.00496588585649145,0.167005298560161
"CTRL","ILMN_1664863","28712","A_23_P152199","214377_s_at","214377_s_at","A_23_P152199","214377_s_at","214377_s_at","214377_s_at",-0.203414185110361,0.104451201225672,-0.0636462511110271,0.00497160366309105,0.167005298560161
"ZCCHC24","ILMN_1754660","23032","A_23_P335452","212423_at","212419_at","A_23_P335452","212423_at","212419_at","212419_at",0.216583790407407,-0.142284787025039,0.0608960384653691,0.00500849563068072,0.167390534174629
"EDC4","ILMN_1665212","24236","A_24_P399009","202496_at","202496_at","A_24_P399009","202496_at","202496_at","202496_at",-0.206582938969225,0.0967662833555463,-0.0932255395425395,0.00505069148550326,0.167819453847648
"SERPINA10","ILMN_1793628","9726","A_23_P128759","220626_at","220626_at","A_23_P128759","220626_at","220626_at","220626_at",-0.204798832804504,0.117787839888816,-0.0676453134721078,0.00507230730797113,0.167819453847648
"TTLL1","ILMN_1806415","19126","A_23_P120970","205652_s_at","205652_s_at","A_23_P120970","205652_s_at","205652_s_at","205652_s_at",-0.212285170504282,0.128276892592183,-0.0472620371142293,0.00522062958593819,0.171725531634698
