"Genes","E.MTAB.386_eset","GSE13876_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","GSE32062.GPL6480_eset","Pooled.Cox.Coefficient","P","FDR"
"MLLT10","ILMN_1743538","26708","A_23_P347720","225992_at","205408_at","225992_at","205408_at","205408_at","A_24_P84540",0.124632216200485,0.00145931576536407,0.0632124700434521
"CH25H","ILMN_1741021","35607","A_23_P86470","206932_at","206932_at","206932_at","206932_at","206932_at","A_23_P86470",0.121330052968679,0.00146692955883363,0.0632124700434521
"YWHAB","ILMN_1694385","37383","A_23_P120414","217718_s_at","217718_s_at","217718_s_at","217718_s_at","217718_s_at","A_23_P500251",0.127685494205421,0.001481490400413,0.0632124700434521
"AFG3L2","ILMN_1686357","14471","A_23_P135454","1557820_at","202486_at","1557820_at","202486_at","202486_at","A_23_P135454",-0.128697117960897,0.0014831091311968,0.0632124700434521
"CXCR7","ILMN_1798360","12088","A_23_P131676","212977_at","212977_at","212977_at","212977_at","212977_at","A_23_P131676",0.12793308898183,0.00149255820261174,0.0632124700434521
"MOXD1","ILMN_1687501","11969","A_23_P31064","1554474_a_at","209708_at","1554474_a_at","209708_at","209708_at","A_23_P31064",0.118855160027741,0.00149536126215174,0.0632124700434521
"PTRF","ILMN_1757552","2895","A_23_P141376","208789_at","208789_at","208789_at","208789_at","208789_at","A_23_P394064",0.12807704315826,0.00149931982178057,0.0632124700434521
"MRPS31","ILMN_1654552","5589","A_23_P162807","212603_at","212603_at","212603_at","212603_at","212603_at","A_23_P162807",0.12587075396296,0.00150699831933488,0.0632124700434521
"FSTL3","ILMN_1730670","16504","A_23_P209167","203592_s_at","203592_s_at","203592_s_at","203592_s_at","203592_s_at","A_23_P209167",0.128810433148333,0.00152829992189218,0.0637613300746417
"CTSK","ILMN_1758895","29369","A_23_P34744","202450_s_at","202450_s_at","202450_s_at","202450_s_at","202450_s_at","A_23_P34744",0.124615728841203,0.00154136634252119,0.0639625819142483
"PCK2","ILMN_1760649","25969","A_23_P140207","202847_at","202847_at","202847_at","202847_at","202847_at","A_23_P140207",-0.12690151292798,0.00156246477120172,0.0644932267261985
"FLNC","ILMN_1715748","9684","A_24_P77968","207876_s_at","207876_s_at","207876_s_at","207876_s_at","207876_s_at","A_24_P77968",0.122072538859643,0.00168467001516567,0.0689379797916241
"SERPINA1","ILMN_1764980","19409","A_23_P218111","211429_s_at","211429_s_at","211429_s_at","211429_s_at","211429_s_at","A_23_P218111",-0.128024723726434,0.00169972917092847,0.0689379797916241
"PRSS16","ILMN_1810537","15045","A_23_P340131","208165_s_at","208165_s_at","208165_s_at","208165_s_at","208165_s_at","A_23_P340131",-0.124134481310719,0.00170187260923757,0.0689379797916241
"NFX1","ILMN_1744959","3984","A_23_P304543","1553103_at","202584_at","1553103_at","202584_at","202584_at","A_23_P94683",-0.127044113570533,0.00170568197422575,0.0689379797916241
"AXL","ILMN_1701877","20166","A_23_P208389","202686_s_at","202686_s_at","202686_s_at","202686_s_at","202686_s_at","A_23_P208389",0.128737048545225,0.00172716831975915,0.0694446951364302
"FXYD5","ILMN_1704286","25941","A_23_P130995","218084_x_at","218084_x_at","218084_x_at","218084_x_at","218084_x_at","A_23_P130995",0.126689159802939,0.00176663577698061,0.0706654310792244
"GPT","ILMN_1795257","31137","A_23_P146339","206709_x_at","206709_x_at","206709_x_at","206709_x_at","206709_x_at","A_23_P146339",-0.1277134292267,0.00178225488583225,0.0707397083458575
"SLC5A1","ILMN_1681526","21259","A_23_P17826","206628_at","206628_at","206628_at","206628_at","206628_at","A_23_P17826",-0.126353848992969,0.00178672459224073,0.0707397083458575
"SERPINE1","ILMN_1744381","25998","A_24_P158089","202627_s_at","202627_s_at","202627_s_at","202627_s_at","202627_s_at","A_24_P158089",0.118632935351907,0.00182284153213009,0.0708130445184
"LTBP4","ILMN_1665219","11830","A_24_P181731","204442_x_at","204442_x_at","204442_x_at","204442_x_at","204442_x_at","A_23_P141946",0.119273555151578,0.00182593962319037,0.0708130445184
"TP53BP2","ILMN_1779706","30939","A_23_P12526","203120_at","203120_at","203120_at","203120_at","203120_at","A_23_P12526",0.121648751191929,0.00182913578593786,0.0708130445184
"CRNKL1","ILMN_1768640","29895","A_23_P131967","219913_s_at","219913_s_at","219913_s_at","219913_s_at","219913_s_at","A_23_P131967",0.127824242597035,0.00183039641160925,0.0708130445184
