"","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Weighted.Mean","FDR"
"SCG2",1.18153599558533,-1.06308512848329,-1.0608109820442,1.04477371576306,1.14508763231784,1.20685975089258,1.09271255752699,1.2900932132601,1.12296614696758,0.217376694966834
"NAV2",-1.03368330557909,-1.01040778533278,-1.09198188279595,-1.31069309311732,-1.0207265341442,-1.17600174020246,-1.12816005132552,-1.14023877856561,-1.12122078729522,0.217376694966834
"CDK10",-1.21361739441026,-1.16418054300302,-1.20410133384289,-1.07770808688884,1.04037268269547,-1.05322375175996,-1.22176477960588,-1.13309487946588,-1.12030961069038,0.0401361163729584
"AP2S1",1.07631493931715,1.0520545723324,1.37865573181096,1.09527616193934,1.06841041602472,1.00078436501403,1.33647597488999,1.08393395327101,1.11792345194132,0.223986431757889
"C3AR1",1.0722692962322,1.01005877858715,-1.11398233139794,1.09233776557121,1.00253096192959,1.17551798895193,1.14853990845239,1.37655885821852,1.11744342087736,0.0857201878880322
"CBR4",-1.14346407573495,-1.15679613417852,-1.19915806888734,-1.00322289767804,-1.00747356686332,-1.12810205371332,-1.13472052081705,-1.16632093061216,-1.11551541810501,0.194314871867732
"DDR2",1.01849983598991,1.02309613313338,1.15501505103124,1.06564628600351,1.07331773575437,1.13937034932268,1.12739255235187,1.22784183920131,1.11440284130838,0.224259489027079
"GATA4",-1.19808127421093,-1.18927710808761,-1.18710916550284,-1.04045107621713,1.0080017115223,-1.06289852952171,-1.14676051923535,-1.14066320821488,-1.11429331044838,0.178425356041516
"ARL4C",-1.01576546087566,-1.28166304169912,-1.10736450176909,1.18528023536412,1.18675310939546,1.27816436746433,-1.13655727706336,1.43584533220859,1.11373734082065,0.0836995575809362
"SORT1",-1.05401575986447,1.33263605336549,1.60320492282812,-1.00729774214718,1.07055765145539,1.07076031499024,-1.13920322440135,1.15321862058727,1.11291005042774,0.178425356041516
