"Genes","E.MTAB.386_eset","GSE12418_eset","GSE17260_eset","GSE18520_eset","GSE26712_eset","GSE32062.GPL6480_eset","GSE9891_eset","PMID17290060_eset","TCGA_eset","Pooled.LogIt.Coefficient","Mean.Optimal","Mean.Suboptimal","P","FDR"
"PDCD10","ILMN_1709396","18034","A_23_P18325","210907_s_at","210907_s_at","A_23_P18325","210907_s_at","210907_s_at","210907_s_at",0.23582063715672,-0.0842840195999098,0.127885914265915,0.000522181323851899,0.0838546789327049
"PRKCSH","ILMN_1777794","9979","A_24_P396197","214080_x_at","214080_x_at","A_24_P396197","214080_x_at","214080_x_at","214080_x_at",-0.230967750240588,0.0841530104182336,-0.127687131281246,0.000562214049429542,0.0870817783407326
"SIT1","ILMN_1788531","12917","A_23_P43369","205484_at","205484_at","A_23_P43369","205484_at","205484_at","205484_at",-0.242839205608833,0.0822724489175952,-0.124833715794135,0.000615058591539024,0.0870817783407326
"ATP6V1C1","ILMN_1659801","19785","A_23_P146058","202874_s_at","202874_s_at","A_23_P146058","202874_s_at","202874_s_at","202874_s_at",0.225300300175123,-0.0817052392984998,0.123973076718509,0.000615522763849827,0.0870817783407326
"PTCH1","ILMN_1800331","16080","A_24_P115490","209815_at","209815_at","A_24_P106910","209815_at","209815_at","209815_at",-0.230416706114218,0.0841668527987349,-0.127708134616094,0.000628431437023753,0.0870817783407326
"COPS5","ILMN_1736002","22817","A_23_P71419","201652_at","201652_at","A_23_P71419","201652_at","201652_at","201652_at",0.22745895577691,-0.0809607472746734,0.122843443324388,0.000662255933936245,0.0870817783407326
"LARP4","ILMN_1675365","21154","A_24_P222365","212714_at","212714_at","A_32_P81334","212714_at","212714_at","212714_at",0.225840461483872,-0.0818487072743331,0.124190763693386,0.000674239581603266,0.0870817783407326
"DNAJA4","ILMN_1776998","17356","A_23_P387649","225061_at","220395_at","A_23_P206140","225061_at","220395_at","220395_at",-0.22800364640374,0.0818892612200976,-0.124252297047585,0.00067884868984777,0.0870817783407326
"LOX","ILMN_1695880","20385","A_24_P37903","215446_s_at","215446_s_at","A_23_P122216","215446_s_at","215446_s_at","215446_s_at",0.222394900542332,-0.0821477851558565,0.124644560848494,0.000679351043896716,0.0870817783407326
"SLC38A3","ILMN_1672382","7358","A_24_P402784","205972_at","205972_at","A_23_P155487","205972_at","205972_at","205972_at",-0.238227516547639,0.0819036941450821,-0.124274196427989,0.000688621376260187,0.0870817783407326
"DLEC1","ILMN_1690278","22819","A_23_P18282","215085_x_at","206798_x_at","A_23_P18282","215085_x_at","206798_x_at","206798_x_at",-0.237610929134293,0.0821116207398048,-0.124589687819981,0.000697930981400577,0.0870817783407326
"SNAP23","ILMN_1687519","973","A_23_P206177","209130_at","209130_at","A_23_P206177","209130_at","209130_at","209130_at",0.231342332089552,-0.0820834655260287,0.124546967322405,0.000705435849490637,0.0870817783407326
"YWHAZ","ILMN_1801928","4896","A_24_P209571","200639_s_at","200640_at","A_32_P12820","200639_s_at","200640_at","200640_at",0.242084160060161,-0.0823260936366147,0.124915112053709,0.000706583652740964,0.0870817783407326
"NR1H4","ILMN_1749335","12969","A_23_P25396","206340_at","206340_at","A_23_P25396","206340_at","206340_at","206340_at",-0.239188907588097,0.0834904796080393,-0.126681859359079,0.000722113285907038,0.0870817783407326
"CTSG","ILMN_1680424","4135","A_23_P140384","205653_at","205653_at","A_23_P140384","205653_at","205653_at","205653_at",-0.248065449975885,0.0828133454636345,-0.125654429491011,0.000727444989176837,0.0870817783407326
"MFAP1","ILMN_1676799","1763","A_23_P14636","203406_at","203406_at","A_23_P14636","203406_at","203406_at","203406_at",0.225635445526865,-0.080413698026478,0.122013394003224,0.00074156358810961,0.0871866904306013
"PDPR","ILMN_1736856","25298","A_24_P350649","224902_at","220236_at","A_24_P350649","224902_at","220236_at","220236_at",-0.242402805377413,0.083589493795693,-0.126832095666905,0.000762539813131313,0.0880800373623959
"TTR","ILMN_1700782","26558","A_23_P130333","209660_at","209660_at","A_23_P130333","209660_at","209660_at","209660_at",-0.241644405924739,0.0808852527334428,-0.122728893870373,0.000779322009418609,0.0884664846553814
"FOXC1","ILMN_1743864","20802","A_32_P205110","213260_at","213260_at","A_23_P390504","213260_at","213260_at","213260_at",-0.227432893985198,0.0814376478959749,-0.123567054659713,0.000796675809388009,0.0885197609509585
"TMEM160","ILMN_1704024","3511","A_23_P107994","219219_at","219219_at","A_23_P107994","219219_at","219219_at","219219_at",0.222033494127536,-0.0822966457971141,0.124870430227954,0.00080668068910351,0.0885197609509585
"CXCL14","ILMN_1748323","8693","A_23_P213745","222484_s_at","218002_s_at","A_23_P213745","222484_s_at","218002_s_at","218002_s_at",0.216594186933412,-0.0801821107194431,0.121662001715182,0.000829841467615202,0.0888316183422495
"PCMT1","ILMN_1671621","5494","A_24_P140827","205202_at","205202_at","A_24_P140827","205202_at","205202_at","205202_at",0.225945670479848,-0.0807492041282722,0.122522464462528,0.000848805178575858,0.0888316183422495
"GRIN2C","ILMN_1734054","10541","A_23_P49546","1569268_at","210400_at","A_23_P49546","1569268_at","210400_at","210400_at",-0.246962673806911,0.0818022288517436,-0.124120241005995,0.000849998778183736,0.0888316183422495
"OSBP2","ILMN_1781966","13706","A_23_P57474","223432_at","221237_s_at","A_23_P321935","223432_at","221237_s_at","221237_s_at",-0.22414843357399,0.0798326269862566,-0.121131722702011,0.000879472765479625,0.088937575415653
"CD9","ILMN_1679858","3731","A_23_P76364","201005_at","201005_at","A_23_P76364","201005_at","201005_at","201005_at",0.230769060292031,-0.0800789449386931,0.121505466107901,0.000880798383423307,0.088937575415653
"SPAG8","ILMN_1754370","7798","A_24_P412036","206816_s_at","206816_s_at","A_24_P412036","206816_s_at","206816_s_at","206816_s_at",-0.236150210488123,0.0821830557623691,-0.124698077681008,0.000910866158358434,0.088937575415653
"CHN1","ILMN_1678493","2343","A_23_P79482","212624_s_at","212624_s_at","A_23_P79482","212624_s_at","212624_s_at","212624_s_at",0.219755890036272,-0.0797495413649124,0.121005655142603,0.000931088640503316,0.088937575415653
"CHST2","ILMN_1794011","25586","A_23_P40847","203921_at","203921_at","A_23_P40847","203921_at","203921_at","203921_at",-0.223850947463854,0.0793799432222214,-0.120444856113162,0.000931130378552668,0.088937575415653
"RPE","ILMN_1699476","14120","A_23_P165301","225040_s_at","221770_at","A_23_P165301","225040_s_at","221770_at","221770_at",0.224247801645923,-0.0797441292817667,0.120997443275106,0.000932061467752135,0.088937575415653
